申請年度,項次,業者名稱,電廠名稱,施工取得日期,土地面積,裝置容量,縣市,鄉鎮區,地段,地號
109,1,祐達能源有限公司,三新紡織-祐達屋頂型太陽光電發電廠,109/05/21,"63,741.360","1,994.400",台南市,永康區,蔦松北段,513
109,1,祐達能源有限公司,三新紡織-祐達屋頂型太陽光電發電廠,109/05/21,"63,741.360","1,994.400",台南市,永康區,蔦松北段,516
109,1,祐達能源有限公司,三新紡織-祐達屋頂型太陽光電發電廠,109/05/21,"63,741.360","1,994.400",台南市,永康區,蔦松北段,517
109,1,祐達能源有限公司,三新紡織-祐達屋頂型太陽光電發電廠,109/05/21,"63,741.360","1,994.400",台南市,永康區,蔦松北段,549
109,1,祐達能源有限公司,三新紡織-祐達屋頂型太陽光電發電廠,109/05/21,"63,741.360","1,994.400",台南市,永康區,蔦松北段,552
109,1,祐達能源有限公司,三新紡織-祐達屋頂型太陽光電發電廠,109/05/21,"63,741.360","1,994.400",台南市,永康區,蔦松北段,553
109,1,祐達能源有限公司,三新紡織-祐達屋頂型太陽光電發電廠,109/05/21,"63,741.360","1,994.400",台南市,永康區,蔦松北段,555
109,1,祐達能源有限公司,三新紡織-祐達屋頂型太陽光電發電廠,109/05/21,"63,741.360","1,994.400",台南市,永康區,蔦松北段,524
109,2,中租電力科技股份有限公司,帝寶工業新營廠房屋頂太陽光電發電廠設置計畫,109/05/13,"71,725.000","2,488.370",台南市,新營區,茄苳腳段,852
109,2,中租電力科技股份有限公司,帝寶工業新營廠房屋頂太陽光電發電廠設置計畫,109/05/13,"71,725.000","2,488.370",台南市,新營區,茄苳腳段,852
109,2,中租電力科技股份有限公司,帝寶工業新營廠房屋頂太陽光電發電廠設置計畫,109/05/13,"71,725.000","2,488.370",台南市,新營區,茄苳腳段,39
109,2,中租電力科技股份有限公司,帝寶工業新營廠房屋頂太陽光電發電廠設置計畫,109/05/13,"71,725.000","2,488.370",台南市,新營區,茄苳腳段,42-1
109,2,中租電力科技股份有限公司,帝寶工業新營廠房屋頂太陽光電發電廠設置計畫,109/05/13,"71,725.000","2,488.370",台南市,新營區,茄苳腳段,42-9
109,2,中租電力科技股份有限公司,帝寶工業新營廠房屋頂太陽光電發電廠設置計畫,109/05/13,"71,725.000","2,488.370",台南市,新營區,茄苳腳段,39
109,2,中租電力科技股份有限公司,帝寶工業新營廠房屋頂太陽光電發電廠設置計畫,109/05/13,"71,725.000","2,488.370",台南市,新營區,茄苳腳段,840
109,2,中租電力科技股份有限公司,帝寶工業新營廠房屋頂太陽光電發電廠設置計畫,109/05/13,"71,725.000","2,488.370",台南市,新營區,茄苳腳段,39
109,2,中租電力科技股份有限公司,帝寶工業新營廠房屋頂太陽光電發電廠設置計畫,109/05/13,"71,725.000","2,488.370",台南市,新營區,茄苳腳段,42-1
109,2,中租電力科技股份有限公司,帝寶工業新營廠房屋頂太陽光電發電廠設置計畫,109/05/13,"71,725.000","2,488.370",台南市,新營區,茄苳腳段,42-9
109,2,中租電力科技股份有限公司,帝寶工業新營廠房屋頂太陽光電發電廠設置計畫,109/05/13,"71,725.000","2,488.370",台南市,新營區,茄苳腳段,840
109,2,中租電力科技股份有限公司,帝寶工業新營廠房屋頂太陽光電發電廠設置計畫,109/05/13,"71,725.000","2,488.370",台南市,新營區,茄苳腳段,852
109,2,中租電力科技股份有限公司,帝寶工業新營廠房屋頂太陽光電發電廠設置計畫,109/05/13,"71,725.000","2,488.370",台南市,新營區,茄苳腳段,852-2
109,2,中租電力科技股份有限公司,帝寶工業新營廠房屋頂太陽光電發電廠設置計畫,109/05/13,"71,725.000","2,488.370",台南市,新營區,茄苳腳段,852-3
109,2,中租電力科技股份有限公司,帝寶工業新營廠房屋頂太陽光電發電廠設置計畫,109/05/13,"71,725.000","2,488.370",台南市,新營區,茄苳腳段,852-4
109,2,中租電力科技股份有限公司,帝寶工業新營廠房屋頂太陽光電發電廠設置計畫,109/05/13,"71,725.000","2,488.370",台南市,新營區,茄苳腳段,866
109,2,中租電力科技股份有限公司,帝寶工業新營廠房屋頂太陽光電發電廠設置計畫,109/05/13,"71,725.000","2,488.370",台南市,新營區,茄苳腳段,869
109,2,中租電力科技股份有限公司,帝寶工業新營廠房屋頂太陽光電發電廠設置計畫,109/05/13,"71,725.000","2,488.370",台南市,新營區,茄苳腳段,870-3
109,2,中租電力科技股份有限公司,帝寶工業新營廠房屋頂太陽光電發電廠設置計畫,109/05/13,"71,725.000","2,488.370",台南市,新營區,茄苳腳段,873
109,2,中租電力科技股份有限公司,帝寶工業新營廠房屋頂太陽光電發電廠設置計畫,109/05/13,"71,725.000","2,488.370",台南市,新營區,茄苳段,406
109,2,中租電力科技股份有限公司,帝寶工業新營廠房屋頂太陽光電發電廠設置計畫,109/05/13,"71,725.000","2,488.370",台南市,新營區,茄苳段,412
109,2,中租電力科技股份有限公司,帝寶工業新營廠房屋頂太陽光電發電廠設置計畫,109/05/13,"71,725.000","2,488.370",台南市,新營區,茄苳腳段,39
109,2,中租電力科技股份有限公司,帝寶工業新營廠房屋頂太陽光電發電廠設置計畫,109/05/13,"71,725.000","2,488.370",台南市,新營區,茄苳腳段,866
109,2,中租電力科技股份有限公司,帝寶工業新營廠房屋頂太陽光電發電廠設置計畫,109/05/13,"71,725.000","2,488.370",台南市,新營區,茄苳段,406
109,2,中租電力科技股份有限公司,帝寶工業新營廠房屋頂太陽光電發電廠設置計畫,109/05/13,"71,725.000","2,488.370",台南市,新營區,茄苳腳段,852
109,3,昊軒電業股份有限公司,昊軒一號太陽光電發電廠,109/05/21,"8,495.580",898.530,台南市,後壁區,嘉安段,593
109,3,昊軒電業股份有限公司,昊軒一號太陽光電發電廠,109/05/21,"8,495.580",898.530,台南市,後壁區,嘉安段,594
109,3,昊軒電業股份有限公司,昊軒一號太陽光電發電廠,109/05/21,"8,495.580",898.530,台南市,後壁區,嘉安段,605
109,3,昊軒電業股份有限公司,昊軒一號太陽光電發電廠,109/05/21,"8,495.580",898.530,台南市,後壁區,嘉安段,607
109,3,昊軒電業股份有限公司,昊軒一號太陽光電發電廠,109/05/21,"8,495.580",898.530,台南市,後壁區,嘉安段,608
109,4,玉樹能源股份,玉樹能源第一期,109/07/31,"75,126.280","9,339.200",屏東縣,高樹鄉,公平段,683
109,4,玉樹能源股份,玉樹能源第一期,109/07/31,"75,126.280","9,339.200",屏東縣,高樹鄉,公平段,681
109,4,玉樹能源股份,玉樹能源第一期,109/07/31,"75,126.280","9,339.200",屏東縣,高樹鄉,公平段,676
109,4,玉樹能源股份,玉樹能源第一期,109/07/31,"75,126.280","9,339.200",屏東縣,高樹鄉,公平段,675
109,4,玉樹能源股份,玉樹能源第一期,109/07/31,"75,126.280","9,339.200",屏東縣,高樹鄉,公平段,674
109,4,玉樹能源股份,玉樹能源第一期,109/07/31,"75,126.280","9,339.200",屏東縣,高樹鄉,公平段,677
109,4,玉樹能源股份,玉樹能源第一期,109/07/31,"75,126.280","9,339.200",屏東縣,高樹鄉,公平段,678
109,4,玉樹能源股份,玉樹能源第一期,109/07/31,"75,126.280","9,339.200",屏東縣,高樹鄉,公平段,679
109,4,玉樹能源股份,玉樹能源第一期,109/07/31,"75,126.280","9,339.200",屏東縣,高樹鄉,公平段,680
109,4,玉樹能源股份,玉樹能源第一期,109/07/31,"75,126.280","9,339.200",屏東縣,高樹鄉,公平段,685
109,4,玉樹能源股份,玉樹能源第一期,109/07/31,"75,126.280","9,339.200",屏東縣,高樹鄉,公平段,686
109,4,玉樹能源股份,玉樹能源第一期,109/07/31,"75,126.280","9,339.200",屏東縣,高樹鄉,公平段,673
109,4,玉樹能源股份,玉樹能源第一期,109/07/31,"75,126.280","9,339.200",屏東縣,高樹鄉,公平段,687
109,4,玉樹能源股份,玉樹能源第一期,109/07/31,"75,126.280","9,339.200",屏東縣,高樹鄉,公平段,672
109,4,玉樹能源股份,玉樹能源第一期,109/07/31,"75,126.280","9,339.200",屏東縣,高樹鄉,公平段,944
109,4,玉樹能源股份,玉樹能源第一期,109/07/31,"75,126.280","9,339.200",屏東縣,高樹鄉,公平段,945
109,4,玉樹能源股份,玉樹能源第一期,109/07/31,"75,126.280","9,339.200",屏東縣,高樹鄉,公平段,947
109,4,玉樹能源股份,玉樹能源第一期,109/07/31,"75,126.280","9,339.200",屏東縣,高樹鄉,公平段,948
109,4,玉樹能源股份,玉樹能源第一期,109/07/31,"75,126.280","9,339.200",屏東縣,高樹鄉,公平段,950
109,4,玉樹能源股份,玉樹能源第一期,109/07/31,"75,126.280","9,339.200",屏東縣,高樹鄉,公平段,951
109,4,玉樹能源股份,玉樹能源第一期,109/07/31,"75,126.280","9,339.200",屏東縣,高樹鄉,公平段,969
109,4,玉樹能源股份,玉樹能源第一期,109/07/31,"75,126.280","9,339.200",屏東縣,高樹鄉,公平段,968
109,4,玉樹能源股份,玉樹能源第一期,109/07/31,"75,126.280","9,339.200",屏東縣,高樹鄉,公平段,966
109,4,玉樹能源股份,玉樹能源第一期,109/07/31,"75,126.280","9,339.200",屏東縣,高樹鄉,公平段,967
109,4,玉樹能源股份,玉樹能源第一期,109/07/31,"75,126.280","9,339.200",屏東縣,高樹鄉,公平段,965
109,4,玉樹能源股份,玉樹能源第一期,109/07/31,"75,126.280","9,339.200",屏東縣,高樹鄉,公平段,964
109,4,玉樹能源股份,玉樹能源第一期,109/07/31,"75,126.280","9,339.200",屏東縣,高樹鄉,公平段,963
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,327
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,328
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,329
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,330
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,331
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,332
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,340
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,343
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,349
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,351
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,352
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,353
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,354
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,356
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,357
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,358
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,359
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,360
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,377
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,378
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,380
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,408
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,409
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,410
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,412
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,413
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,415
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,416
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,763
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,764
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,765
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,766
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,767
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,777
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,792
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,794
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,795
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,796
109,5,全利成電力股份有限公司,全利成二號電廠,109/06/02,"184,458.950","3,519.700",屏東縣,新園鄉,鹽龍段,797
109,6,天璣智慧能源股份有限公司,天璣第一期太陽能電廠,109/05/15,"5,884.830",418.500,屏東縣,佳冬鄉,新埔段,1151
109,6,天璣智慧能源股份有限公司,天璣第一期太陽能電廠,109/05/15,"5,884.830",418.500,屏東縣,佳冬鄉,新埔段,1154
109,7,天璣智慧能源股份有限公司,天璣第二期(第1-1階段)太陽能電廠,109/07/23,"34,133.000","3,360.400",屏東縣,佳冬鄉,佳和段,1328
109,7,天璣智慧能源股份有限公司,天璣第二期(第1-1階段)太陽能電廠,109/07/23,"34,133.000","3,360.400",屏東縣,佳冬鄉,佳和段,1370
109,7,天璣智慧能源股份有限公司,天璣第二期(第1-1階段)太陽能電廠,109/07/23,"34,133.000","3,360.400",屏東縣,佳冬鄉,佳和段,1371
109,7,天璣智慧能源股份有限公司,天璣第二期(第1-1階段)太陽能電廠,109/07/23,"34,133.000","3,360.400",屏東縣,佳冬鄉,佳和段,2358
109,7,天璣智慧能源股份有限公司,天璣第二期(第1-1階段)太陽能電廠,109/07/23,"34,133.000","3,360.400",屏東縣,佳冬鄉,佳和段,2036
109,7,天璣智慧能源股份有限公司,天璣第二期(第1-1階段)太陽能電廠,109/07/23,"34,133.000","3,360.400",屏東縣,佳冬鄉,佳和段,2035
109,7,天璣智慧能源股份有限公司,天璣第二期(第1-1階段)太陽能電廠,109/07/23,"34,133.000","3,360.400",屏東縣,佳冬鄉,佳和段,2015
109,7,天璣智慧能源股份有限公司,天璣第二期(第1-1階段)太陽能電廠,109/07/23,"34,133.000","3,360.400",屏東縣,佳冬鄉,佳和段,2072
109,7,天璣智慧能源股份有限公司,天璣第二期(第1-1階段)太陽能電廠,109/07/23,"34,133.000","3,360.400",屏東縣,佳冬鄉,佳和段,2070
109,7,天璣智慧能源股份有限公司,天璣第二期(第1-1階段)太陽能電廠,109/07/23,"34,133.000","3,360.400",屏東縣,佳冬鄉,佳和段,2227
109,7,天璣智慧能源股份有限公司,天璣第二期(第1-1階段)太陽能電廠,109/07/23,"34,133.000","3,360.400",屏東縣,佳冬鄉,佳和段,2210
109,7,天璣智慧能源股份有限公司,天璣第二期(第1-1階段)太陽能電廠,109/07/23,"34,133.000","3,360.400",屏東縣,佳冬鄉,佳和段,2255
109,7,天璣智慧能源股份有限公司,天璣第二期(第1-1階段)太陽能電廠,109/07/23,"34,133.000","3,360.400",屏東縣,佳冬鄉,佳和段,2199
109,7,天璣智慧能源股份有限公司,天璣第二期(第1-1階段)太陽能電廠,109/07/23,"34,133.000","3,360.400",屏東縣,佳冬鄉,佳和段,2198
109,7,天璣智慧能源股份有限公司,天璣第二期(第1-2階段)太陽能電廠,109/12/10,"50,831.420","5,226.600",屏東縣,佳冬鄉,塭豐段,381
109,7,天璣智慧能源股份有限公司,天璣第二期(第1-2階段)太陽能電廠,109/12/10,"50,831.420","5,226.600",屏東縣,佳冬鄉,塭豐段,383
109,7,天璣智慧能源股份有限公司,天璣第二期(第1-2階段)太陽能電廠,109/12/10,"50,831.420","5,226.600",屏東縣,佳冬鄉,塭豐段,403
109,7,天璣智慧能源股份有限公司,天璣第二期(第1-2階段)太陽能電廠,109/12/10,"50,831.420","5,226.600",屏東縣,佳冬鄉,塭豐段,373
109,7,天璣智慧能源股份有限公司,天璣第二期(第1-2階段)太陽能電廠,109/12/10,"50,831.420","5,226.600",屏東縣,佳冬鄉,塭豐段,374
109,7,天璣智慧能源股份有限公司,天璣第二期(第1-2階段)太陽能電廠,109/12/10,"50,831.420","5,226.600",屏東縣,佳冬鄉,塭豐段,375
109,7,天璣智慧能源股份有限公司,天璣第二期(第1-2階段)太陽能電廠,109/12/10,"50,831.420","5,226.600",屏東縣,佳冬鄉,塭豐段,506
109,7,天璣智慧能源股份有限公司,天璣第二期(第1-2階段)太陽能電廠,109/12/10,"50,831.420","5,226.600",屏東縣,佳冬鄉,塭豐段,510
109,7,天璣智慧能源股份有限公司,天璣第二期(第1-2階段)太陽能電廠,109/12/10,"50,831.420","5,226.600",屏東縣,佳冬鄉,塭豐段,511
109,7,天璣智慧能源股份有限公司,天璣第二期(第1-2階段)太陽能電廠,109/12/10,"50,831.420","5,226.600",屏東縣,佳冬鄉,塭豐段,395
109,7,天璣智慧能源股份有限公司,天璣第二期(第1-2階段)太陽能電廠,109/12/10,"50,831.420","5,226.600",屏東縣,佳冬鄉,塭豐段,523
109,7,天璣智慧能源股份有限公司,天璣第二期(第1-2階段)太陽能電廠,109/12/10,"50,831.420","5,226.600",屏東縣,佳冬鄉,塭豐段,524
109,7,天璣智慧能源股份有限公司,天璣第二期(第1-2階段)太陽能電廠,109/12/10,"50,831.420","5,226.600",屏東縣,佳冬鄉,塭豐段,525
109,7,天璣智慧能源股份有限公司,天璣第二期(第1-2階段)太陽能電廠,109/12/10,"50,831.420","5,226.600",屏東縣,佳冬鄉,塭豐段,526
109,7,天璣智慧能源股份有限公司,天璣第二期(第1-2階段)太陽能電廠,109/12/10,"50,831.420","5,226.600",屏東縣,佳冬鄉,塭豐段,529
109,7,天璣智慧能源股份有限公司,天璣第二期(第1-2階段)太陽能電廠,109/12/10,"50,831.420","5,226.600",屏東縣,佳冬鄉,塭豐段,413
109,7,天璣智慧能源股份有限公司,天璣第二期(第1-2階段)太陽能電廠,109/12/10,"50,831.420","5,226.600",屏東縣,佳冬鄉,塭仔段,245
109,7,天璣智慧能源股份有限公司,天璣第二期(第1-2階段)太陽能電廠,109/12/10,"50,831.420","5,226.600",屏東縣,佳冬鄉,塭豐段,565
109,7,天璣智慧能源股份有限公司,天璣第二期(第1-2階段)太陽能電廠,109/12/10,"50,831.420","5,226.600",屏東縣,佳冬鄉,塭豐段,566
109,7,天璣智慧能源股份有限公司,天璣第二期(第1-2階段)太陽能電廠,109/12/10,"50,831.420","5,226.600",屏東縣,佳冬鄉,塭仔段,314
109,7,天璣智慧能源股份有限公司,天璣第二期(第1-2階段)太陽能電廠,109/12/10,"50,831.420","5,226.600",屏東縣,佳冬鄉,塭仔段,410
